Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
143,45Х3М1Ф,,,38CrMoV,,ГОСТ 4543-2016,,,1
144,45ХГМА,,,40CrMnMo,,ГОСТ 4543-2016,12.00,Поковка,1
145,45ХГСНМА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
146,45ХН,,,45CrNi,,ГОСТ 4543-2016,13.00,Поковка,1
147,45ХН2МФА,,,45CrNiMoVA,,ГОСТ 4543-2016,,,1
148,45ХН4МФА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
149,45ХНМФА,,,40CrNiMoA,,ГОСТ 4543-2016,,,1
150,47ГТ,,,40MnB,,ГОСТ 4543-2016,,,1
151,50ХГФА,,,,,ГОСТ 14959-2016,,,1
152,50ХМ,,,50CrMo,,ГОСТ 4543-2016,,,1
153,50ХН,,,50CrNi,,ГОСТ 4543-2016,,,1
154,50ХФА,,,50CrV,,ГОСТ 14959-2016,,,1
155,55С2А,,,55Si7,,ГОСТ 14959-2016,,,1
156,60С2А,,,60Si2Mn,,ГОСТ 14959-2016,,,1
157,60С2Г,,,60Si2Mn,,ГОСТ 14959-2016,,,1
158,60С2ГА,,,60Si2MnA,,ГОСТ 14959-2016,,,1
159,60С2ФА,,,60Si2Mn,,ГОСТ 14959-2016,,,1
160,65Х2С3МФ,,,60Si2Mn,,ГОСТ ТУ,,,1
161,75Г2ФЮ,,,ZGMn13,,ГОСТ ТУ,,,1
162,75ХГСМ,,,60Si2Mn,,ГОСТ ТУ,,,1
163,Magstrong H400,,,Hardox HiTuf,,ГОСТ ТУ,,,1
164,ZDI-0225,,,Дамасская,,ГОСТ ТУ,,,1
165,ШХ15СГ,,,GCr15SiMn,,ГОСТ 801-78,16.00,,1
166,ШХ20ГС,,,52100Mod.2,,ГОСТ 801-78,17.00,,1
 4. Высоколегированная,,,,,,,,,177
1,03Х13АГ19,,,0Cr13Mn19,,ГОСТ 5632-2014,,,1
2,03Х17Н14М3,,,022Cr17Ni12Mo2,,ГОСТ 5632-2014,,,1
3,03Х18Н10,,,0Cr18Ni10,,ГОСТ 5632-2014,,,1
4,03Х18Н10Т,,,0Cr18Ni10Ti ,,ГОСТ 5632-2014,,,1
5,03Х18Н11,,,00Cr19Ni10,,ГОСТ 5632-2014,,,1
6,03Х18Н12,,,00Cr19Ni10 ,,ГОСТ 5632-2014,,,1
7,03Х21Н21М4ГБ,,,10Cr17Ni13Mo2Si,,ГОСТ 5632-2014,,,1
8,03Х21Н32М3Б,,,0Cr21Ni32Mo3Cu,,ГОСТ 5632-2014,,,1
9,03Х21Н32М3БУ,,,AISI 316Ti,,ГОСТ 5632-2014,,,1
10,03Х22Н5АМ3,,,AISI 304,,ГОСТ 5632-2014,,,1
11,03Х22Н6М2,,,OCr22Ni6Mo2 ,,ГОСТ 5632-2014,,,1
12,03Х23Н6,,,03Cr23Ni6,,ГОСТ 5632-2014,,,1
13,03ХН28МДТ,,,OCr25Ni28Mo3CuTi,,ГОСТ 5632-2014,,,1
14,04Х18Н10,,,OCr18Ni9,,ГОСТ 5632-2014,,,1
15,05Х12Н2М,,,OCr12Ni2Mo,,ГОСТ 5632-2014,,,1
16,05Х16Н5АБ,,,OCr16Ni5Mo,,ГОСТ 5632-2014,,,1
17,05Х18Н10Т,,,OCr18Ni10Ti,,ГОСТ 5632-2014,,,1
18,05ХН32Т,,,OCr25Ni32MoTi,,ГОСТ 5632-2014,,,1
19,06Х18Н11,,,0Cr18Ni11,,ГОСТ 5632-2014,,,1
20,06ХН28МДТ,,,0Cr25Ni28Mo3D,,ГОСТ 5632-2014,25.00,Поковка,1
21,06ХН28МТ,,,0Cr25Ni28Mo3,,ГОСТ 5632-2014,,,1
22,07Х12НМФБ,,,OCr12NiMoVB,,ГОСТ 5632-2014,,,1
23,07Х15Н30В5М2,,,OCr15Ni30W5Mo2,,ГОСТ 5632-2014,,,1
24,07Х16Н4Б,,,OCr16Ni4B,,ГОСТ 5632-2014,,,1
25,07Х16Н6,,,1Cr16Ni6,,ГОСТ 5632-2014,,,1
26,07Х21Г7АН5,,,0Cr21Ni7Mn5,,ГОСТ 5632-2014,,,1
27,08Cr20Ni14,,,X15CrNiSi20-12,,ГОСТ 5632-2014,25.00,Поковка,1
28,08Х10Н20Т2,,,009Cr10Ni20Ti2,,ГОСТ 5632-2014,,,1
29,08Х13,,,1Cr13,,ГОСТ 5632-2014,,,1
30,08Х15Н24В4ТР,,,0Cr15Ni24W4TR,,ГОСТ 5632-2014,,,1
31,08Х16Н11М3,,,0Cr16Ni11Mo3,,ГОСТ 5632-2014,,,1
32,08Х16Н13М2Б,,,0Cr16Ni13Mo2B,,ГОСТ 5632-2014,,,1
33,08Х17Н13М2Т,,,0Cr17Ni13Mo2Ti,,ГОСТ 5632-2014,,,1
34,08Х17Н15М3Т,,,0Cr17Ni15Mo3Ti,,ГОСТ 5632-2014,,,1
35,08Х17Н5М3,,,0Cr17Ni5Mo3,,ГОСТ 5632-2014,,,1
36,08Х17Н6Т,,,0Cr17Ni6Ti,,ГОСТ 5632-2014,,,1
37,08Х17Т,,,0Cr17Ti,,ГОСТ 5632-2014,,,1
38,08Х18Г8Н2Т,,,0Cr18Ni2Ti,,ГОСТ 5632-2014,,,1
39,08Х18Н10,,,0Cr18Ni9,,ГОСТ 5632-2014,,,1
40,08Х18Н10Т,,,0Cr18Ni10Ti,,ГОСТ 5632-2014,,,1
41,08Х18Н12Б,,,0Cr18Ni12B,,ГОСТ 5632-2014,,,1
42,08Х18Н12Т,,,0Cr18Ni12Ti,,ГОСТ 5632-2014,,,1
43,08Х18Н9,,,AISI 304,,ГОСТ 5632-2014,,,1
44,08Х18Т1,,,0Cr18Ti1,,ГОСТ 5632-2014,,,1
45,08Х18Тч,,,0Cr18Ti ,,ГОСТ 5632-2014,16.00,Поковка,1
46,08Х20Н14С2,,,1Cr20Ni14Si2 ,,ГОСТ 5632-2014,,,1
47,08Х21Н6М2Т,,,0Cr21Ni6Mo2Ti,,ГОСТ 5632-2014,,,1
48,08Х22Н6Т,,,1Cr22Ni6Ti,,ГОСТ 5632-2014,,,1
49,08ХН35ВТЮ,,,1Cr35Ni35WTY,,ГОСТ 5632-2014,,,1
50,09Х14Н19В2БР,,,00Cr25Ni13Mo3Cu3,,ГОСТ 5632-2014,,,1
51,09Х14Н19В2БР1,,,GH2036,,ГОСТ 5632-2014,,,1
52,09Х15Н8Ю1,,,0Cr15Ni8Al1,,ГОСТ 5632-2014,,,1
53,09Х16Н15М3Б,,,1Cr16Ni15Mo3Nb,,ГОСТ 5632-2014,,,1
54,09Х16Н4Б,,,1Cr16Ni4Nb,,ГОСТ 5632-2014,,,1
55,09Х17Н7Ю,,,0Cr17Ni7Al,,ГОСТ 5632-2014,,,1
56,09Х17Н7Ю1,,,1Cr17Ni7,,ГОСТ 5632-2014,,,1
57,09Х18Н9,,,1Cr18Ni9,,ГОСТ 5632-2014,,,1
58,10Х11Н20Т2Р,,,1Cr11Ni20Ti2Nb,,ГОСТ 5632-2014,,,1
59,10Х11Н20Т3Р,,,1Cr11Ni20Ti3Nb,,ГОСТ 5632-2014,,,1
60,10Х11Н23Т3МР,,,,,ГОСТ 5632-2014,,,1
61,10Х13СЮ,,,1Cr13Si,,ГОСТ 5632-2014,,,1
62,10Х14АГ15,,,,,ГОСТ 5632-2014,,,1
63,10Х14Г14Н4Т,,,,,ГОСТ 5632-2014,,,1
64,10Х17Н13М2Т,,,,,ГОСТ 5632-2014,,,1
65,10Х17Н13М3Т,,,,,ГОСТ 5632-2014,,,1
66,10Х18Н9,,,,,ГОСТ 5632-2014,,,1
67,10Х23Н18,,,X10CrNiSiN21-11,,ГОСТ 5632-2014,,,1
68,10ХН28ВМАБ,,,,,ГОСТ 5632-2014,,,1
69,10ХН45Ю,,,,,ГОСТ 5632-2014,,,1
70,11Х11Н2В2МФ,,,,,ГОСТ 5632-2014,,,1
71,12Х13,,,1Cr13,,ГОСТ 5632-2014,,,1
72,12Х17,,,1Cr17,,ГОСТ 5632-2014,,,1
73,12Х17Г9АН4,,,,,ГОСТ 5632-2014,,,1
74,12Х18Н10,,,1Cr18Ni10,,ГОСТ 5949-2018,,,1
75,12Х18Н10Е,,,1Cr18Ni10Nb,,ГОСТ 5632-2014,,,1
76,12Х18Н10Т,,,1Cr18Ni9Ti,,ГОСТ 5632-2014,25.00,Поковка,1
77,12Х18Н10Т-М2б,,,,,ГОСТ 7350-77,,,1
78,12Х18Н12Т,,,1Cr18Ni12Ti,,ГОСТ 5632-2014,,,1
79,12Х18Н9,,,1Cr18Ni9,,ГОСТ 5632-2014,,,1
80,12Х18Н9Т,,,1Cr18Ni9Ti,,ГОСТ 5632-2014,,,1
81,12Х21Н5Т,,,1Cr21Ni5Ti,,ГОСТ 5632-2014,,,1
82,12Х25Н16Г7АР,,,,,ГОСТ 5632-2014,,,1
83,12ХН35ВТ,,,,,ГОСТ 5632-2014,,,1
84,12ХН38ВТ,,,,,ГОСТ 5632-2014,,,1
85,13Х11Н2В2МФ,,,,,ГОСТ 5632-2014,,,1
86,13Х11Н2В2Мф-ш,,,,,ГОСТ 5632-2014,,,1
87,13Х14Н3В2ФР,,,,,ГОСТ 5632-2014,,,1
88,14Х17Н2,,,,,ГОСТ 5632-2014,,,1
89,15Х11МФ,,,1Cr11MoV,,ГОСТ 5632-2014,,,1
90,15Х12ВНМФ,,,,,ГОСТ 5632-2014,,,1
91,15Х18Н12С4ТЮ,,,,,ГОСТ 5632-2014,,,1
92,15Х18СЮ,,,1Cr18Si4,,ГОСТ 5632-2014,,,1
93,15Х25Т,,,,,ГОСТ 5632-2014,,,1
94,15Х28,,,1Cr28,,ГОСТ 5632-2014,,,1
95,16Х11Н2В2МФ,,,,,ГОСТ 5632-2014,,,1
96,17Х18Н9,,,,,ГОСТ 5632-2014,,,1
97,18Х11МНФБ,,,,,ГОСТ 5632-2014,,,1
98,18Х12ВМБФР,,,,,ГОСТ 5632-2014,,,1
99,20Х12ВНМФ,,,,,ГОСТ 5632-2014,,,1
100,20Х13,,,2Cr13,,ГОСТ 5632-2014,17.00,Поковка,1
101,20Х13Н4Г9,,,,,ГОСТ 5632-2014,,,1
102,20Х17Н2,,,,,ГОСТ 5632-2014,,,1
103,20Х20Н14С2,,,,,ГОСТ 5632-2014,,,1
104,20Х23Н13,,,ЭИ-319,,ГОСТ 5632-2014,,,1
105,20Х23Н18,,,1Cr25Ni20Si2,,ГОСТ 5632-2014,25.00,Поковка,1
106,20Х25Н20С2,,,,,ГОСТ 5632-2014,,,1
107,30Х13,,,3Cr13,,ГОСТ 5632-2014,17.00,Поковка,1
108,30Х13Н7С2,,,3Cr13Ni7Si2,,ГОСТ 5632-2014,,,1
109,31Х19Н9МВБТ,,,,,ГОСТ 5632-2014,,,1
110,36Х18Н25С2,,,,,ГОСТ 5632-2014,,,1
111,37Х12Н8Г8МФБ,,,,,ГОСТ 5632-2014,,,1
112,40Х10С2М,,,,,ГОСТ 5632-2014,,,1
113,40Х13,,,4Cr13,,ГОСТ 5632-2014,,,1
114,40Х15Н7Г7Ф2МС,,,,,ГОСТ 5632-2014,,,1
115,40Х27Н36С2Б,,,,,ГОСТ1333-006-76886,,,1
116,40Х9С2,,,4Cr9Si2,,ГОСТ 5632-2014,,,1
117,45Х14Н14В2М (ЭИ 69),,,,,ГОСТ 5632-2014,25.00,Поковка,1
118,45Х22Н4М3,,,,,ГОСТ 5632-2014,,,1
119,45Х25Н20С,,,ТУ1333-047-00220302-02,,ГОСТ1333-047-0022030,,,1
120,45Х28Н49В5С,,,,,ГОСТ1333-047-0022030,,,1
121,55Х20Г9АН4,,,5Cr20Ni9Mn4,,ГОСТ 5632-2014,,,1
122,55Х20Г9ФН4,,,,,ГОСТ 5632-2014,,,1
123,65Х13,,,8Gr5MoV,,ГОСТ 5632-2014,,,1
124,80ХН28В,,,по химсоставу,,ГОСТ ТУ,,,1
125,95Х18,,,X 102 CrMo17,,ГОСТ 5632-2014,,,1
126,X150CrMo12,,,1.2379,,ГОСТ 5632-72,,,1
127,А25Х13Н2П,,,,,ГОСТ 5632-2014,7.00,Поковка,1
128,Б10,,,,,ГОСТ 8733-74,,,1
129,ВК15,,,,,ГОСТ 3882–74,,,1
130,Н70МФВ,,,,,ГОСТ 5632-2014,,,1
131,Х18Н10Т,,,0Cr18Ni10Ti,,ГОСТ 5949-75,,,1
132,Х18Н9Т,,,0Cr18Ni9Ti,,ГОСТ 5632-2014,25.00,,1
133,Х20Н14С2,,,,,ГОСТ 5949-75,,,1
134,Х23Н13,,,1Cr23Ni13,,ГОСТ 5632-2014,,,1
135,Х25Н20С2,,,,,ГОСТ 5632-2014,,,1
136,ХН32Т,,,"Х20Н32Т, ЭП670",,ГОСТ 5632-2014,,,1
137,ХН33КВЮ,,,,,ГОСТ 5632-2014,,,1
138,ХН38ВТ,,,,,ГОСТ 5632-2014,,,1
139,ХН45МВТЮБР,,,,,ГОСТ 5632-2014,,,1
140,ХН45Ю,,,,,ГОСТ 5632-2014,,,1
141,ХН54К15МБЮВТ,,,,,ГОСТ 5632-2014,,,1
142,ХН55ВМТКЮ,,,,,ГОСТ 5632-2014,,,1
143,ХН55К15МБЮВТ,,,,,ГОСТ 5632-2014,,,1
144,ХН55МВЦ,,,,,ГОСТ 5632-2014,,,1
145,ХН55МВЦУ,,,,,ГОСТ 5632-2014,,,1
146,ХН55МВЮ,,,,,ГОСТ 5632-2014,,,1
147,ХН56ВМКЮ,,,,,ГОСТ 5632-2014,,,1
148,ХН56ВМТЮ,,,,,ГОСТ 5632-2014,,,1
149,ХН56К16МБВЮТ,,,,,ГОСТ 5632-2014,,,1
150,ХН56КМЮБВТ,,,,,ГОСТ 5632-2014,,,1
151,ХН57МТВЮ,,,,,ГОСТ 5632-2014,,,1
152,ХН58В,,,,,ГОСТ 5632-2014,,,1
153,ХН58МБЮ,,,,,ГОСТ 5632-2014,,,1
154,ХН59КВЮМБТ,,,,,ГОСТ 5632-2014,,,1
155,ХН60ВТ,,,,,ГОСТ 5632-2014,,,1
156,ХН60Ю,,,,,ГОСТ 5632-2014,,,1
157,ХН62БМКТЮ,,,,,ГОСТ 5632-2014,,,1
158,ХН62ВМЮТ,,,,,ГОСТ 5632-2014,,,1
159,ХН62МКЮ,,,,,ГОСТ 5632-2014,,,1
160,ХН65ВМТЮ,,,,,ГОСТ 5632-2014,,,1
161,ХН65МВ,,,0Х15Н65М16В ЭП567,,ГОСТ 5632-2014,,,1
162,ХН65МВУ,,,,,ГОСТ 5632-2014,,,1
163,ХН67МВТЮ,,,,,ГОСТ 5632-2014,,,1
164,ХН68ВМТЮК,,,,,ГОСТ 5632-2014,,,1
165,ХН69МБЮТВР,,,,,ГОСТ 5632-2014,,,1
166,ХН70ВМТЮ,,,,,ГОСТ 5632-2014,,,1
167,ХН70ВМТЮФ,,,,,ГОСТ 5632-2014,,,1
168,ХН70ВМЮТ,,,ЭИ765,,ГОСТ 5632-2014,,,1
169,ХН70МВТЮБ,,,,,ГОСТ 5632-2014,,,1
170,ХН70Ю,,,,,ГОСТ 5632-2014,,,1
171,ХН73МБТЮ,,,,,ГОСТ 5632-2014,,,1
172,ХН75ВМЮ,,,,,ГОСТ 5632-2014,,,1
173,ХН75МБТЮ,,,,,ГОСТ 5632-2014,,,1
174,ХН77ТЮР,,,,,ГОСТ 5632-2014,,,1
175,ХН77ТЮРУ,,,,,ГОСТ 5632-2014,,,1
176,ХН78Т,,,,,ГОСТ 5632-2014,,,1
177,ХН80ТБЮ,,,,,ГОСТ 5632-2014,,,1
 5. Инструментальная,,,,,,,,,53
1,11ХФ,,,,,ГОСТ 5950-2000,,,1
2,13Х,,,,,ГОСТ 5950-2000,,,1
3,150ХНМ,,,AD160I Валковая,,ГОСТ ТУ,17.00,Поковка,1
4,150ХНМЛ,,,AD160I ,,ГОСТ ТУ,,,1
5,18ХВГ,,,CrWMn,,ГОСТ 5950-2000,,,1
6,27Х2Н2М1Ф,,,,,ГОСТ ТУ,,,1
7,3Х2В8Ф,,,3Cr2W8V,,ГОСТ 5950-2000,17.00,Поковка,1
8,3Х3М3Ф,,,,,ГОСТ 5950-2000,,,1
9,40Х5МФС,,,4Cr5MoSiV,,ГОСТ 5950-2000,,,1
10,45ХНМ,,,45CrNiMo,,ГОСТ 24.013.04-0,11.00,Поковка,1
11,4Х5МФ1С,,,45Cr5MoSiV1,,ГОСТ 5950-2000,15.00,Поковка,1
12,4Х5МФ1СА,,,45Cr5MoSiV1,,ГОСТ 5950-2000,,,1
13,4Х5МФС,,,4Cr5MoSiV,,ГОСТ 5950-2000,14.50,Поковка,1
14,55Х,,,55Cr,,ГОСТ 3541-79,7.00,Поковка,1
15,5ХВ2С,,,,,ГОСТ 5950-2000,,,1
16,5ХГМ,,,,,ГОСТ 5950-2000,,,1
17,5ХНВ,,,,,ГОСТ 5950-2000,,,1
18,5ХНВС,,,,,ГОСТ 5950-2000,,,1
19,5ХНМ,,,5CrNiMo,,ГОСТ 5950-2000,13.60,Поковка,1
20,5ХНМ2,,,5CrNiMo2,,ГОСТ ТУ,,,1
21,60ХГ,,,60CrMnMo,,ГОСТ24.013.21–85,9.00,Поковка,1
22,60ХН,,,60CrNi,,ГОСТ 24.013.04-0,10.00,Поковка,1
23,60ХСМФ,,,НЕТ,,ГОСТ24.013.20–85,,,1
24,6Х6В3МФС,,,,,ГОСТ 5950-2000,,,1
25,6ХВ2С,,,8Gr2MoV,,ГОСТ 5950-2000,,,1
26,75Х3МФА,,,,,ГОСТ 5950-2000,,,1
27,75ХМ,,,75CrMo,,ГОСТ 3541-79,,,1
28,75ХМФ,,,75CrMoV,,ГОСТ 24.013.04-0,,,1
29,75ХМФА,,,75CrMoV,,ГОСТ 24.013.04-0,,,1
30,8ХФ,,,,,ГОСТ 5950-2000,,,1
31,90ХФ,,,9Cr2,,ГОСТ 3541-79,,,1
32,9Х,,,9Cr,,ГОСТ 5950-2000,16.00,Поковка,1
33,9Х1,,,9Cr1,,ГОСТ 5950-2000,16.00,Поковка,1
34,9Х1Ф,,,9Cr1V,,ГОСТ 5950-2000,16.00,Поковка,1
35,9Х2,,,9Cr2,,ГОСТ 5950-2000,16.00,Поковка,1
36,9Х2М,,,9Cr2Mo,,ГОСТ 5950-2000,16.00,Поковка,1
37,9Х2МФ,,,9Cr2MoV,,ГОСТ 3541-79,16.00,Поковка,1
38,9Х2МФ,,,9Cr2MoV,,ГОСТ 5950-2000,,,1
39,9Х2МФА,,,9Cr2MoV,,ГОСТ 3541-79,,,1
40,9ХВГ,,,9CrWMn,,ГОСТ 5950-2000,,,1
41,9ХС,,,8Gr2MoV,,ГОСТ 5950-2000,16.00,Поковка,1
42,9ХФ,,,,,ГОСТ 5950-2000,,,1
43,У8,,,,,ГОСТ 1435‑1999,,,1
44,У8А,,,,,ГОСТ 1435‑1999,,,1
45,Х12,,,Cr12,,ГОСТ 5950-2000,,,1
46,Х12М,,,Cr12MoV,,ГОСТ 5950-2000,,,1
47,Х12МФ,,,Cr12MoV,,ГОСТ 5950-2000,16.00,Поковка,1
48,Х12МФ1,,,Cr12Mo1V1,,ГОСТ 5950-2000,,,1
49,Х12Ф1,,,,,ГОСТ 5950-2000,,,1
50,ХВГ,,,CrWMn,,ГОСТ 5950-2000,,,1
51,ХГС,,,,,ГОСТ 5950-2000,,,1
52,ШХ15,,,GCr15,,ГОСТ 801-2022,16.00,,1
53,ШХ9,,,Cr2,,ГОСТ 801-2022,,,1
 6. Литейная,,,,,,,,,124
1,07Х18Н9Л,,,CF8,,ГОСТ 977-88,,,1
2,09Х17Н3СЛ,,,,,ГОСТ 977-88,,,1
3,100Г13Х2Л,,,,,ГОСТ 977-88,,,1
4,10Х18Н9ТЛ,,,,,ГОСТ 977-88,,,1
5,110Г13Л,,,ZGMn13-1-4,,ГОСТ 977-88,7.50,Литье,1
6,110Г13ФТЛ,,,,,ГОСТ 977-88,,,1
7,110Г13Х2БРЛ,,,,,ГОСТ 977-88,,,1
8,110Г13Х2Л,,,,,ГОСТ 977-88,,,1
9,110Г13ХМЛ,,,,,ГОСТ 977-88,,,1
10,125Г18Х2МНЛ,,,,,ГОСТ 977-88,,,1
11,125Г18Х2Н2МЛ,,,,,ГОСТ 977-88,,,1
12,12Х18Н12М3ТЛ,,,,,ГОСТ 977-88,,,1
13,12Х18Н9ТЛ,,,,,ГОСТ 977-88,,,1
14,130Г13Х2ТЛ,,,,,ГОСТ 977-88,,,1
15,145Х15НЛ,,,,,ГОСТ 977-88,,,1
16,14Х2ГМРЛ,,,,,ГОСТ 977-88,12.00,Литье,1
17,14ХГ2НМЛ,,,,,ГОСТ 977-88,,,1
18,14ХГНМЛ,,,,,ГОСТ 977-88,,,1
19,15Л,,,"1.0420, GS-38",,ГОСТ 977-88,,,1
20,15Х13Л,,,,,ГОСТ 977-88,,,1
21,15Х25Н20С2Л,,,,,ГОСТ 977-88,,,1
22,15Х25ТЛ,,,,,ГОСТ 977-88,20.00,Литье,1
23,15ХМЛ,,,,,ГОСТ 977-88,,,1
24,170ХНМ,,,,,ГОСТ 977-88,,,1
25,185Х31Н5Л,,,,,ГОСТ 977-88,,,1
26,20Г1ФЛ,,,J13002,,ГОСТ 977-88,,,1
27,20Г1ФЛ,,,J13002,,ГОСТ 977-88,,,1
28,20ГЛ,,,,,ГОСТ 977-88,,,1
29,20ГСЛ,,,,,ГОСТ 977-88,,,1
30,20Л,,,,,ГОСТ 977-88,8.50,Литье,1
31,20Х20Н14С2Л,,,,,ГОСТ 977-88,,,1
32,20Х23Н18СЛ,,,,,ГОСТ 977-88,,,1
33,20Х25Н19С2,,,,,ГОСТ 977-88,,,1
34,20Х25Н19С2Л,,,GX40CrNiSi25-20,,ГОСТ 977-88,56.00,Литье,1
35,20Х25Н19СЛ,,,,,ГОСТ 977-88,,,1
36,20Х25Н20С2Л,,,2Cr25Ni20,,ГОСТ 977-88,,,1
37,20Х27НСЛ,,,,,ГОСТ 977-88,,,1
38,20Х5МЛ,,,,,ГОСТ 977-88,,,1
39,20ХГСЛ,,,,,ГОСТ 977-88,,,1
40,20ХМЛ,,,,,ГОСТ 977-88,,,1
41,23ГНМФЛ,,,,,ГОСТ 977-88,,,1
42,23ХГС2МФЛ,,,,,ГОСТ 977-88,,,1
43,25ГСЛ,,,,,ГОСТ 977-88,,,1
44,25Л,,,GS45,,ГОСТ 977-88,8.50,Литье,1
45,25Х23Н7СЛ,,,,,ГОСТ 977-88,,,1
46,25ХМЛ,,,ZG25CrMo,,ГОСТ 977-88,,,1
47,25ХНМЛ,,,ZG25CrNiMo,,ГОСТ 977-88,,,1
48,27ГЛ,,,,,ГОСТ 977-88,,,1
49,30ГЛ,,,,,ГОСТ 977-88,,,1
50,30ГСЛ,,,,,ГОСТ 977-88,,,1
51,30Л,,,ZG270-500,,ГОСТ 977-88,8.50,Литье,1
52,30ФЛ,,,,,ГОСТ 977-88,,,1
53,30Х06Л,,,,,ГОСТ 977-88,,,1
54,30Х24Н12СЛ,,,,,ГОСТ 977-88,,,1
55,30Х25Н19С2Л,,,,,ГОСТ 977-88,,,1
56,30Х25Н5Л,,,,,ГОСТ 977-88,,,1
57,30ХГСЛ,,,,,ГОСТ 977-88,,,1
58,30ХМЛ,,,ZG35CrMo,,ГОСТ 977-88,,,1
59,30ХНМЛ,,,ZG28CrNiMo,,ГОСТ 977-88,,,1
60,35 ГЛ,,,36Mn5,,ГОСТ 977-88,8.50,Литье,1
61,35ГЛ,,,,,ГОСТ 977-88,,,1
62,35Л,,,ZG270-500,,ГОСТ 977-88,8.50,Литье,1
63,35Л,,,,,ГОСТ 977-88,,,1
64,35Л-II,,,ZG290-510,,ГОСТ 977-88,8.50,Литье,1
65,35МЛ,,,,,ГОСТ 977-88 ,,,1
66,35ФЛ,,,,,ГОСТ 977-88,,,1
67,35Х18Н24С2Л,,,,,ГОСТ 977-88,,,1
68,35Х23Н19СЛ,,,,,ГОСТ 977-88,,,1
69,35Х23Н7СЛ,,,,,ГОСТ 977-88,,,1
70,35ХГСЛ,,,ZG35SiMn,,ГОСТ 977-88,,,1
71,35ХМЛ,,,ZG35CrMo,,ГОСТ 977-88,10.00,Поковка,1
72,35ХМФЛ,,,,,ГОСТ 977-88,,,1
73,35ХН2МЛ,,,,,ГОСТ ТУ,,,1
74,35ХНЛ,,,,,ГОСТ 977-88,,,1
75,38ХЛ,,,,,ГОСТ 977-88,,,1
76,40ГЛ,,,,,ГОСТ 977-88,,,1
77,40Л,,,ZG270-500,,ГОСТ 977-88,8.50,Литье,1
78,40Х24Н12СЛ,,, ZG35Cr26Ni12,,ГОСТ 977-88,48.00,Литье,1
79,40Х24Н19С2Л,,,,,ГОСТ 977-88,,,1
80,40Х27Н4СЛ,,,,,ГОСТ 977-88,,,1
81,40Х9С2Л,,,,,ГОСТ 977-88,,,1
82,40ХЛ,,,,,ГОСТ 977-88,10.00,Литье,1
83,40ХМЛ,,,,,ГОСТ 977-88,,,1
84,40ХНМЛ,,,,,ГОСТ 977-88,,,1
85,40ХФЛ,,,,,ГОСТ 977-88,,,1
86,42ХНМФЛ,,,,,ГОСТ 977-88,,,1
87,45ГЛ,,,,,ГОСТ 977-88,,,1
88,45Л,,,ZGD410-620,,ГОСТ 977-88,8.50,Литье,1
89,45Л-II,,,,,ГОСТ 977-88,8.50,Литье,1
90,45ФЛ,,,,,ГОСТ 977-88,,,1
91,45ФЛ (35ХМЛ),,,,,ГОСТ 977-88,,,1
92,45ФЛ-2,,,,,ГОСТ 977-88,,,1
93,45Х13Л,,,,,ГОСТ 977-88,,,1
94,45Х17Н2СЛ,,,,,ГОСТ 977-88,,,1
95,45Х25Н20С2Л,,,,,ГОСТ 977-88,,,1
96,45Х25Н35 БСЛ,,,,,ГОСТ 977-88,,,1
97,45Х28Н49В5Л,,,,,ГОСТ 977-88,,,1
98,45ХГСФЛ,,,,,ГОСТ 977-88,,,1
99,50Л,,,50ZG,,ГОСТ 977-88,8.50,Литье,1
100,50Х25Н35БСЛ,,,,,ГОСТ 977-88,,,1
101,55Л,,,,,ГОСТ 977-88,8.50,Литье,1
102,55СЛ,,,,,ГОСТ 977-88,,,1
103,60Х2МЛ,,,,,ГОСТ 977-88,,,1
104,60ХГЛ,,,,,ГОСТ 977-88,,,1
105,65Л-2,,,,,ГОСТ,,,1
106,70 ХЛ,,,,,ГОСТ 977-88,,,1
107,70Л,,,,,ГОСТ 977-88,,,1
108,70Л,,,,,ГОСТ 977-88,,,1
109,70ХЛ,,,,,ГОСТ 977-88,,,1
110,75Г2ФЮЛ,,,,,ГОСТ 977-88,,,1
111,75Х24ТЛ,,,,,ГОСТ 977-88,,,1
112,80ГСЛ,,,,,ГОСТ 977-88,,,1
113,Г13Л,,,,,ГОСТ 977-88,,,1
114,Г13ФЛ,,,,,ГОСТ 977-88,,,1
115,Г13Х2Л,,,,,ГОСТ 977-88,,,1
116,Г13Х8Л,,,,,ГОСТ 977-88,,,1
117,Х14Н15С4Л,,,нужно разобраться,,ГОСТ 977-88,,,1
118,Х18Н25С2Л,,,,,ГОСТ 977-88,,,1
119,Х23МД,,,,,ГОСТ 977-88,,,1
120,Х24Н25БЛ,,,,,ГОСТ ТУ,,,1
121,Х25Н19С2Л,,,,,ГОСТ 977-88,,,1
