Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
85,В10,,,,,ГОСТ 10705-80,,,1
86,В20,,,,,ГОСТ 8733-74,4.20,Труба,1
87,ВСт3пс,,,Q235,,ГОСТ 380-2005,,,1
88,ВСт3пс2,,,Q235A,,ГОСТ 24379.1-2012,,,1
89,ВСт3сп4,,,,,ГОСТ 5521-93,,,1
90,М16С,,,,,ГОСТ 6713-2021,,,1
91,М76,,,,,ГОСТ 51685-2022,,,1
92,ОС,,,рельсовый транспорт,,ГОСТ 4728–2010,,,1
93,С235,,,Q235A,,ГОСТ 27772-2021,,,1
94,Ст. 2,,,Q215,,ГОСТ 380-2005,,,1
95,Ст. 2пс,,,Q215,,ГОСТ 380-2005,,,1
96,Ст. 3,,,Q235,,ГОСТ 380-2005,4.30,Лист,1
97,Ст. 3,,,Q235,,ГОСТ 380-2005,4.30,Прокат,1
98,Ст. 3,,,Q235,,ГОСТ 380-2005,5.50,Труба,1
99,Ст. 3,,,Q235,,ГОСТ 380-2005,5.70,Поковка,1
100,Ст. 3кп,,,Q235,,ГОСТ 380-2005,4.30,Лист,1
101,Ст. 3пс,,,Q235,,ГОСТ 380-2005,4.30,Лист,1
102,Ст. 3сп,,,Q235,,ГОСТ 380-2005,4.30,Лист,1
103,Ст. 3сп,,,Q235,,ГОСТ 380-2005,4.30,Прокат,1
104,Ст. 3сп,,,Q235,,ГОСТ 380-2005,5.50,Поковка,1
105,Ст. 4пс,,,Q225,,ГОСТ 380-2005,4.30,Прокат,1
106,Ст. 4пс,,,Q225,,ГОСТ 380-2005,5.70,Поковка,1
107,Ст. 4сп,,,Q255,,ГОСТ 380-2005,5.50,Труба,1
108,Ст. 5,,,Q275,,ГОСТ 14637-2024,4.30,Лист,1
109,Ст. 5,,,Q275,,ГОСТ 14637-2024,4.30,Прокат,1
110,Ст. 5,,,Q275,,ГОСТ 14637-2024,5.50,Труба,1
111,Ст. 5,,,Q275,,ГОСТ 14637-2024,5.70,Поковка,1
112,Ст. 5сп,,,Q275,,ГОСТ 380-2005,,,1
113,Ст. 6пс,,,HRB335,,ГОСТ 380-2005,4.30,Прокат,1
114,Ст. 6сп,,,HRB335,,ГОСТ 14637-2024,,,1
115,Э76,,,рельсовый транспорт,,ГОСТ Р 51685–2022,,,1
 2. Низколегированная,,,,,,,,,64
1,09Г2,,,09Mn2,,ГОСТ 19281-2014,,,1
2,09Г2С,,,12Mn,,ГОСТ 19281-2014,4.00,Лист,1
3,09Г2С,,,12Mn,,ГОСТ 19281-2014,4.00,Прокат,1
4,09Г2С,,,12Mn,,ГОСТ 19281-2014,5.90,Труба,1
5,09Г2С,,,12Mn,,ГОСТ 19281-2014,7.00,Поковка,1
6,09ГСФЮ,,,Q345D,,ГОСТ 19281-2014,,,1
7,10Г2Б,,,09MnNb,,ГОСТ 19281-2014,,,1
8,10ХСНД,,,Q420C,,ГОСТ 19281-2014,8.00,Поковка,1
9,12ГС,,,Q345B,,ГОСТ 19281-2014,,,1
10,12ХМ,,,12CrMo,,ГОСТ 20072-74,,,1
11,12ХМ-18,,,13CrMo4-5,,ГОСТ 5520-2017,,,1
12,12ХН,,,12CrNi2,,ГОСТ 4543-2016,,,1
13,14ХГН,,,НЕТ,,ГОСТ 4543-2016,,,1
14,14ХГС,,,30CrMnSiA,,ГОСТ 4543-2016,,,1
15,15Г2СФ,,,20MnMoB,,ГОСТ 27772-2021,,,1
