"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал ч.408-01-001","408-01-001","ИСО ООО","26.000","24.5","45","950.00","38.78","38.78","Левичев Никита Сергеевич","14.02.2024, Выиграли","637",""
"Вал верхний ч.ГП-142202","ГП-142202","ММК","24.000","24.51","40Х","1,593.15","65.00","45.00","Лебедев Станислав Артурович","06.10.2025, Подались","588.24","25,00"
"Вал нижний ч.ГП-142201","ГП-142201","ММК","24.000","24.51","40Х","1,593.15","65.00","45.00","Лебедев Станислав Артурович","06.10.2025, Подались","588.24","25,00"
"Вал полый ч.2997","2997","ПРОМСОРТ","4.000","25","40ХН2МА","3,761.23","150.45","127.73","Диденко Виталий Тимофеевич","26.05.2025, Выиграли частично","100","44,00"
"Вал хода тележки колеса Ø400 ч.1Б1-506-462А","1Б1-506-462А","Красный октябрь Корпорация","8.000","25","45","1,050.00","42.00","38.00","Жуков Евгений Александрович","13.12.2024, Проиграли","200","21,60"
"Вал ч.А.04.30-652-97.1","А.04.30-652-97.1","СТЗ","7.000","25.8","40Х","1,646.04","63.80","48.04","Максутов Бектурсун Абдилнабиевич","06.05.2024, Выиграли частично","180.6",""
"Вал шестерня ч.ОВИО 235-33.00.001","ОВИО 235-33.00.001","Татшина","1.000","25.8","18ХГТ","4,200.04","162.79","162.79","Матитов Магомедтагир Ахмедович","03.03.2025, Проиграли","25.8","77,52"
"Вал шестерня ч.8-8293-01","8-8293-01","ВТЗ","1.000","26","20ХН3А","3,000.00","115.38","115.38","Лебедев Николай Леонидович","27.01.2025, Отменен","26","57,69"
"Вал шестерня ч.КП140-330-008","КП140-330-008","Морпорт СПб","2.000","26","40Х","12,000.00","461.54","461.54","Магомедова Эльмира Гасановна","16.04.2025, Не участвовали","52","76,92"
"Вал шестерня ч.КП140-330-008-01","КП140-330-008-01","Морпорт СПб","1.000","26","40Х","12,000.00","461.54","461.54","Магомедова Эльмира Гасановна","16.04.2025, Не участвовали","26","76,92"
"Вал шестерня ч.14-ДМ-0007-001","14-ДМ-0007-001","ОЭМК","1.000","26.4","38ХМ","4,283.44","162.25","162.25","Давлетмурзаев Амирсултан Адильсултанович","16.01.2024, Выиграли","26.4","110,96"
"Вал компенсационный моторный L=1480 ч.Н10-04-2-1","Н10-04-2-1","СМЗ","2.000","27.3","45","1,325.00","48.53","48.53","Григорян Саркис Владимирович","11.09.2025, Подались","54.6","19,41"
"Вал компенсационный моторный L=1480 ч.Н10-04-2-1","Н10-04-2-1","СМЗ","2.000","27.3","45","1,325.00","48.53","48.53","Григорян Саркис Владимирович","23.10.2025, Проиграли","54.6","19,41"
"Вал холостого колеса ч.153-02-07-01","153-02-07-01","РУСАЛ Урал - филиал РУСАЛ Волгоград","6.000","27.5","40Х","816.75","29.70","27.00","Коновалов Данила Евгеньевич","06.10.2025, Подались","165","13,50"
"Вал холостого колеса ч.153-02-07-01","153-02-07-01","РУСАЛ Урал - филиал РУСАЛ Волгоград","6.000","27.5","40Х","1,200.00","43.64","43.64","Зырянов Олег Юрьевич","25.01.2024, Проиграли","165","21,82"
"Вал верхний ч.7.07.829.10","7.07.829.10","ВТЗ","1.000","28","40Х","1,800.00","64.29","64.29","Лебедев Николай Леонидович","24.01.2025, Отменен","28","19,64"
"Вал шестерня ч.10935.02","10935.02","НЛМК","2.000","28","20Х2Н4А","4,990.00","178.21","178.21","Солнышкин Дмитрий Сергеевич","19.06.2025, Мониторинг цен","56","100,00"
"Вал шестерня ч.30.М.6.1189","30.М.6.1189","БМЗ","1.000","29.38","40ХН2МА","9,000.00","306.33","306.33","Солнышкин Дмитрий Сергеевич","18.12.2024, Проиграли","29.38","102,11"
"Вал ч.Г527.00","Г527.00","ИСО ООО","2.000","29.4","40Х","6,600.00","224.49","66.33","Коновалов Данила Евгеньевич","27.09.2024, Проиграли","58.8","35,00"
"Вал ч.П-28","П-28","ТАГМЕТ","1.000","29.5","40Х","8,234.77","279.14","279.14","Валитов Рамиль Амирханович","21.02.2024, Выиграли","29.5",""
"Вал ч.П-28","П-28","ТАГМЕТ","1.000","29.5","40Х","8,250.00","279.66","279.66","Валитов Рамиль Амирханович","27.03.2024, Выиграли","29.5","36,61"
"Вал карданный CA141 ч.8571","8571","ММК","2.000","29.7","СБ","2,200.00","74.07","56.00","Лебедев Станислав Артурович","03.09.2025, Подались","59.4","29,63"
