"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал ч.КВ.710.3626.07.002","КВ.710.3626.07.002","Промсорт-Урал","1.000","56.6","40Х","2,280.00","40.28","40.28","Диденко Виталий Тимофеевич","10.09.2025, Подались","56.6","16,11"
"Вал полый ч.КП 057-410-008","КП 057-410-008","СЦФ","4.000","56.8","45","3,200.00","56.34","56.34","Лебедев Николай Леонидович","17.01.2025, Отменен","227.2","26,41"
"Вал приводной передвижения моста кранов ч.31-06-04-1272.01.001","31-06-04-1272.01.001","ПромСорт-Тула","6.000","56.8","40Х","2,700.00","47.54","47.54","Ряхимов Али Рафикович","16.05.2023, Выиграли","340.8","29,93"
"Вал ч.С-5212 IV оси редуктора ГП 1В502","С-5212","Евраз НТМК","3.000","56.8","40Х","2,423.08","42.66","42.66","Лебедев Николай Леонидович","20.03.2024, Выиграли","170.4","35,21"
"Вал привода крана ч.КМДВ-Г-10-25-02.00.00.003","КМДВ-Г-10-25-02.00.00.003","ГЛАЦЕМ","4.000","57","45","2,600.00","45.61","45.61","Левичев Никита Сергеевич","03.09.2025, Подались","228","22,00"
"Вал ч.0120009-15.419 СБ","0120009-15.419 СБ","ОЭМК","2.000","57.3","СБ","4,026.68","70.27","70.27","Максутов Бектурсун Абдилнабиевич","19.01.2024, Выиграли","114.6",""
"Вал ч.0120009-15.419 СБ","0120009-15.419 СБ","ОЭМК","10.000","57.3","СБ","6,396.88","111.64","87.96","Максутов Бектурсун Абдилнабиевич","13.11.2024, Проиграли","573","47,12"
"Вал ч.С-5925 IV оси редуктора ГП 1В502","С-5925","Евраз НТМК","2.000","57.6","40Х","2,076.92","36.06","36.06","Лебедев Николай Леонидович","20.03.2024, Выиграли","115.2","15,45"
"Вал дымососа ЕЕО МВП2 ч.ТМ 2101.00.000","ТМ 2101.00.000","НПЗ","2.000","58","45","3,500.00","60.34","60.34","Зырянов Олег Юрьевич","21.02.2025, Проиграли","116","28,45"
"Вал переключения JW-KSR 1531.6013 ч.1/7738070","1/7738070","БМЗ","2.000","58","42CrMo4","6,148.00","106.00","106.00","Солнышкин Дмитрий Сергеевич","22.04.2025, Проиграли","116","53,00"
"Вал ч.50981Т-1-100-01","50981Т-1-100-01","ЧТПЗ","2.000","58","Ст. 3","5,800.00","100.00","100.00","Ряхимов Али Рафикович","21.08.2024, Отменен","116","50,00"
"Вал шестерня ч.ДЦ.2180.02","ДЦ.2180.02","Надеждинский МЗ","1.000","58","40Х","2,990.00","51.55","51.55","Зырянов Олег Юрьевич","06.06.2025, Отменен","58","22,41"
"Вал ч.А1025-121-47 В","А1025-121-47 В","ИСО ООО","2.000","58.2","45Х","7,275.00","125.00","27.49","Коновалов Данила Евгеньевич","06.08.2025, Подались","116.4","14,00"
"Вал ч.57686М-01-004","57686М-01-004","ЧТПЗ","2.000","58.5","40ХН2МА","3,200.00","54.70","54.70","Ряхимов Али Рафикович","03.04.2024, Проиграли","117","21,37"
"Вал ч.57686М-01-004","57686М-01-004","ЧТПЗ","2.000","58.5","45Х","2,185.03","37.35","37.35","Лебедев Станислав Артурович","15.09.2023, Выиграли","117","22,74"
"Вал промежуточный Ø245 ч.CLC8CB271M8250DLZ001","CLC8CB271M8250DLZ001","НЛМК","1.000","59","СБ","3,800.00","64.41","64.41","Солнышкин Дмитрий Сергеевич","20.05.2025, Проиграли","59","33,90"
"Вал ч.920-409","920-409","ИСО ООО","3.000","59","45","3,304.00","56.00","27.85","Левичев Никита Сергеевич","06.08.2025, Подались","177","11,86"
"Вал ч.РШ1.1541.14 Z","РШ1.1541.14 Z","Чусовской металлургический завод","1.000","59.2","45","3,300.00","55.74","55.74","Солнышкин Дмитрий Сергеевич","12.02.2024, Выиграли","59.2","30,41"
"Вал ч.01Р14-3567.00.004","01Р14-3567.00.004","ВМЗ","2.000","59.3","45","3,345.00","56.41","56.41","Солнышкин Дмитрий Сергеевич","22.08.2023, Выиграли","118.6","27,15"
"Вал ч.601-64-00-001","601-64-00-001","ИСО ООО","3.000","59.45","45","2,000.00","33.64","33.64","Левичев Никита Сергеевич","14.02.2024, Выиграли","178.35",""
"Вал барабана (правый) ч.Р-1756-2","Р-1756-2","ТАГМЕТ","3.000","59.7","45","1,950.00","32.66","32.66","Пилюгин Дмитрий Михайлович","05.12.2023, Выиграли","179.1","16,75"
"Вал шестерня ч.Б1-33-285","Б1-33-285","Красный октябрь Корпорация","2.000","59.7","40Х","4,044.38","67.75","64.36","Морев И.В.","15.01.2024, Выиграли","119.4",""
"Вал I передачи ч.9222 IV кс/19816.00.024","9222 IV кс/19816.00.024","Надеждинский МЗ","1.000","60","45","3,000.00","50.00","50.00","Зырянов Олег Юрьевич","11.06.2024, Выиграли","60","26,67"
"Вал колес передат.телеги ч.В2-1224","В2-1224","СинТЗ","36.000","60","45","3,825.00","63.75","63.75","Лебедев Станислав Артурович","12.08.2024, Проиграли","2,160","25,50"
"Вал поворота ч.69778-4","69778-4","Киберсталь","4.000","60","45","2,400.00","40.00","40.00","Зырянов Олег Юрьевич","23.07.2025, Проиграли","240","18,33"
"Вал ч.1Д502.143.415","1Д502.143.415","ВМЗ","4.000","60","45","4,480.00","74.67","74.67","Солнышкин Дмитрий Сергеевич","13.07.2023, Выиграли","240","33,33"
"Вал приводной ч.0308001-0004.00.01","0308001-0004.00.01","ВМЗ","1.000","60.66","45","2,800.00","46.16","46.16","Солнышкин Дмитрий Сергеевич","30.04.2025, Проиграли","60.66","16,49"
"Вал концевой ч.19/3-3 СБ","19/3-3 СБ","РУСАЛ УРАЛ","10.000","60.7","СБ","4,285.71","70.60","70.60","Левичев Никита Сергеевич","24.01.2025, Проиграли","607","39,09"
"Вал холостой ч.Л4-8066","Л4-8066","ММК","1.000","60.7","45","3,120.10","51.40","41.52","Лебедев Станислав Артурович","05.03.2025, Проиграли","60.7","19,77"
"Вал ч.1Б502.142.401","1Б502.142.401","ВМЗ","2.000","61","40Х","5,010.00","82.13","82.13","Солнышкин Дмитрий Сергеевич","06.07.2023, Выиграли","122","15,57"
"Вал ч.2-115996","2-115996","ОЭМК","2.000","61","X155CrVMo12-1","5,741.90","94.13","39.17","Максутов Бектурсун Абдилнабиевич","17.06.2025, Проиграли","122","22,13"
"Вал ч.КМ1747.02.011","КМ1747.02.011","Красный октябрь Корпорация","4.000","61.2","45","1,700.00","27.78","27.78","Жуков Евгений Александрович","13.12.2024, Проиграли","244.8","12,25"
"Вал барабана (левый) ч.Р-1756-1","Р-1756-1","ТАГМЕТ","3.000","61.5","45","1,950.00","31.71","31.71","Пилюгин Дмитрий Михайлович","05.12.2023, Выиграли","184.5","16,26"
"Вал шестерня ч.1708/VII кс п.5","1708/VII кс п.5","Надеждинский МЗ","2.000","62","45","9,000.00","145.16","37.10","Зырянов Олег Юрьевич","05.10.2024, Выиграли","124","20,97"
"Вал ч.72004.001.02.055","72004.001.02.055","ВМЗ","4.000","62.4","40Х","4,615.00","73.96","73.96","Солнышкин Дмитрий Сергеевич","27.07.2023, Выиграли","249.6","32,05"
"Вал шлицевой ч.1301002-0662.01.02","1301002-0662.01.02","ВМЗ","2.000","62.85","40Х","6,045.00","96.18","96.18","Солнышкин Дмитрий Сергеевич","01.09.2023, Выиграли","125.7","42,96"
"Вал ч.3-215087А-1","3-215087А-1","ЧТПЗ","2.000","63","45","2,500.00","39.68","39.68","Лебедев Николай Леонидович","27.02.2025, Отменен","126","17,46"
"Вал шестерня ч.20.004.053","20.004.053","Евраз НТМК","2.000","63","40ХН","3,230.77","51.28","51.28","Лебедев Николай Леонидович","20.03.2024, Выиграли","126","31,75"
"Вал червячный ч.711-05-01А","711-05-01А","Сибирский Цемент ТД","2.000","63.25","45","5,000.00","79.05","79.05","Лебедев Николай Леонидович","26.06.2025, Проиграли","126.5","39,53"
"Вал ведомый ч.АЛ 002","АЛ 002","ФИРМА АЛЕВ","1.000","63.46","A350-LF2","120,000.00","1,890.95","1,890.95","Лебедев Николай Леонидович","20.12.2024, Проиграли","63.46","359,99"
"Вал шестерня (заготовка) ч.Р273.0.03.0.01","Р273.0.03.0.01","ОЭМК","33.000","64","20ХН3А","3,243.59","50.68","50.68","Максутов Бектурсун Абдилнабиевич","18.06.2024, Проиграли","2,112","25,30"
"Вал промежуточный ч.8.2.2.5/00.128 ОЭМК","8.2.2.5/00.128","ОЭМК","4.000","64.1","40Х","19,287.20","300.89","300.89","Лебедев Станислав Артурович","02.05.2023, Выиграли","256.4",""
"Вал створок смесителя ч.1.07.43.00.002","1.07.43.00.002","ИСО ООО","2.000","64.1","40Х","3,050.00","47.58","47.58","Левичев Никита Сергеевич","15.01.2024, Выиграли","128.2","28,86"
"Вал шестерня промежуточная редуктора Ц2Н-450 насосов G902A ч.МН-КБ 07-99","МН-КБ 07-99","Уралхим","2.000","64.3","34Cr2Ni2Mo","5,600.00","87.09","87.09","Жуков Евгений Александрович","14.02.2025, Проиграли","128.6","43,55"
"Вал I оси редуктора ГП 1В502Ф3 ч.С-5922","С-5922","Евраз НТМК","3.000","64.4","40Х","2,423.08","37.63","37.63","Лебедев Николай Леонидович","20.03.2024, Выиграли","193.2","14,75"
"Вал ведомый ч.УВП-0,9.0,6-1010","УВП-0,9.0,6-1010","ПРОМЛИТ","6.000","65","Ст.35","2,269.23","34.91","34.91","Левичев Никита Сергеевич","11.03.2024, Выиграли","390","19,18"
"Вал ч.1.16.49.04.01.04.00.04","1.16.49.04.01.04.00.04","ИСО ООО","2.000","65","30Г2","4,062.50","62.50","60.00","Зырянов Олег Юрьевич","06.08.2025, Подались","130","25,00"
"Вал ч.20883784","20883784","СТЗ","2.000","65.2","42CrMo4","5,000.00","76.69","76.69","Лебедев Николай Леонидович","10.01.2024, Проиграли","130.4","38,34"
"Вал шестерня ч.21520","21520","Северсталь","1.000","66","34ХМ","6,900.00","104.55","104.55","Омаров Сайпудин Мурадович","13.05.2024, Отменен","66","66,67"
"Вал эксцентриковый ч.71902.4.1","71902.4.1","Нижегородские Автокомпоненты","1.000","66","45","4,846.15","73.43","73.43","Лебедев Николай Леонидович","05.09.2023, Выиграли","66","19,70"
"Вал промежуточный ч.НР020.01.00.003","НР020.01.00.003","ТАГМЕТ","10.000","66.1","30CrNiMo8","8,820.00","133.43","104.84","Морев И.В.","18.01.2024, Проиграли","661","63,54"
"Вал ведущий ч.8.5.2.10/00.269","8.5.2.10/00.269","ОЭМК","2.000","66.6","40Х","6,125.15","91.97","64.43","Максутов Бектурсун Абдилнабиевич","22.01.2025, Проиграли","133.2","30,03"
"Вал вибротележки ч.УВП-0,9.0,6-1006","УВП-0,9.0,6-1006","ПРОМЛИТ","6.000","66.6","Ст.35","2,346.15","35.23","35.23","Левичев Никита Сергеевич","11.03.2024, Выиграли","399.6","20,14"
"Вал ч.ОФ-1000-027 В","ОФ-1000-027 В","МГОК","67.000","66.7","45","1,970.62","29.54","26.25","Максутов Бектурсун Абдилнабиевич","20.05.2025, Отменен","4,468.9","12,77"
"Вал подвенцовый ч.98-0565","98-0565","СЕГЕЖА ГРУПП - ОЦО","1.000","67","45","2,997.75","44.74","44.74","Максутов Бектурсун Абдилнабиевич","08.08.2025, Проиграли","67","22,00"
"Вал подвенцовый ч.98-0565","98-0565","СЕГЕЖА ГРУПП - ОЦО","1.000","67","45","3,854.25","57.53","57.53","Максутов Бектурсун Абдилнабиевич","16.05.2025, Проиграли","67","15,00"
"Вал подвенцовый ч.98-0565","98-0565","СЕГЕЖА ГРУПП - ОЦО","1.000","67","45","3,854.25","57.53","57.53","Максутов Бектурсун Абдилнабиевич","19.05.2025, Проиграли","67","15,00"
"Вал приводной ч.ПТЛ 10829102024","ПК 130116.01.001","ММК","","67","45","","","","Максутов Бектурсун Абдилнабиевич","14.01.2025, Не участвовали","536",""
"Вал ч.41L1898.1","41L1898.1","ВТЗ","20.000","67","40Х","1,566.67","23.38","21.89","Жуков Евгений Александрович","21.02.2024, Проиграли","1,340","16,37"
"Вал ч.41L1898.2","41L1898.2","ВТЗ","20.000","67","40Х","1,726.67","25.77","23.88","Жуков Евгений Александрович","21.02.2024, Проиграли","1,340","18,04"
"Вал ч.СС50.197.00.000","СС50.197.00.000","ИСО ООО","12.000","67","40Х","3,400.00","50.75","50.75","Левичев Никита Сергеевич","25.12.2024, Проиграли","804","23,88"
"Вал ч.76-03-4564","76-03-4564","Чусовской металлургический завод","1.000","67.09","40Х","4,540.00","67.67","67.67","Солнышкин Дмитрий Сергеевич","23.01.2024, Выиграли","67.09","402,03"
"Вал ч.П-5624","П-5624","СМЗ","1.000","67.3","45","10,095.00","150.00","150.00","Григорян Саркис Владимирович","29.05.2025, Проиграли","67.3","50,00"
"Вал ч.СС50.312.00.001","СС50.312.00.001","ИСО ООО","16.000","68","40Х","3,600.00","52.94","51.47","Левичев Никита Сергеевич","25.12.2024, Проиграли","1,088","25,00"
"Вал ч.ТПЦ-3698-2","ТПЦ-3698-2","ПНТЗ","1.000","68","45","3,000.00","44.12","44.12","Лебедев Станислав Артурович","30.01.2024, Выиграли частично","68",""
"Вал шестерня ч.14-3.11-3.6.14-460-01","14-3.11-3.6.14-460-01","ОЭМК","1.000","68","40ХН2МА","8,537.56","125.55","125.55","Давлетмурзаев Амирсултан Адильсултанович","16.01.2024, Выиграли","68","84,75"
"Вал шестерня ч.14-3.11-3.6.14-460-01","14-3.11-3.6.14-460-01","ОЭМК","2.000","68","40ХН2МА","11,750.40","172.80","172.80","Максутов Бектурсун Абдилнабиевич","21.10.2024, Проиграли","136","72,00"
"Вал ч.31-06-04-219.00.006","31-06-04-219.00.006","ПромСорт-Тула","16.000","68.41","45","3,300.00","48.24","48.24","Ряхимов Али Рафикович","16.05.2023, Выиграли","1,094.56","33,62"
"Вал опорного ролика ч.3.1.28 дет.155","3.1.28 дет.155","ЧТПЗ","2.000","68.73","45","11,780.00","171.40","171.40","Ряхимов Али Рафикович","11.11.2024, Не участвовали","137.46","45,10"
"Вал выходной редуктора ч.2019.029.04","2019.029.04","БОАЗ","4.000","69","40Х","3,500.00","50.72","49.28","Левичев Никита Сергеевич","27.02.2025, Проиграли","276","21,74"
"Вал шлицевой электромостового крана ч.ЖА.195-148.00.02","ЖА.195-148.00.02","АВИСМА ВСМПО","1.000","69.3","40Х","4,700.00","67.82","51.95","Жуков Евгений Александрович","30.09.2025, Подались","69.3","33,19"
"Вал EAM073ME05 Warman 8/6","Warman","ИСО ООО","2.000","70","","2,050.00","29.29","29.29","Коновалов Данила Евгеньевич","22.01.2024, Проиграли","140","13,20"
"Вал насоса СД-800/32  ч.Г530.00","Г530.00","ИСО ООО","1.000","70","Ст.35","15,500.00","221.43","66.43","Коновалов Данила Евгеньевич","27.09.2024, Проиграли","70","28,57"
"Вал шестерня ч.05-05-459.46","05-05-459.46","Чусовской металлургический завод","1.000","70","45","9,900.00","141.43","141.43","Солнышкин Дмитрий Сергеевич","23.01.2024, Выиграли","70","71,43"
"Вал с гайками ч.ОФ-1704.04 СБ","ОФ-1704.04 СБ","Учалинский ГОК","44.000","70.8","СБ","7,000.00","98.87","42.37","Коновалов Данила Евгеньевич","11.11.2024, Проиграли","3,115.2","21,19"
"Вал ч.КНН 201.74.08.06.00.001","201.74.08.06.00.001","ВТЗ","4.000","71","40Х","2,800.00","39.44","39.44","Лебедев Николай Леонидович","10.06.2024, Проиграли","284","22,00"
"Вал ч.СР-184-3","СР-184-3","Вторресурс-Переработка","2.000","71","45","2,000.00","28.17","28.17","Ряхимов Али Рафикович","15.03.2024, Выиграли","142","18,63"
"Вал ч.1Д502.143.417","1Д502.143.417","ВМЗ","1.000","71.7","45","4,400.00","61.37","61.37","Солнышкин Дмитрий Сергеевич","29.11.2024, Проиграли","71.7","29,29"
"Вал ч.1Д502.143.417","1Д502.143.417","ВМЗ","1.000","71.7","45","4,400.00","61.37","61.37","Солнышкин Дмитрий Сергеевич","03.08.2023, Выиграли","71.7","29,29"
"Вал ч.1Д502.143.417","1Д502.143.417","ВМЗ","1.000","71.7","45","4,400.00","61.37","61.37","Солнышкин Дмитрий Сергеевич","04.04.2024, Выиграли","71.7","29,29"
"Вал ч.1Д502.143.417","1Д502.143.417","ВМЗ","1.000","71.7","45","4,600.00","64.16","64.16","Солнышкин Дмитрий Сергеевич","13.07.2023, Выиграли","71.7","29,29"
"Вал ч.1Д502.143.417","1Д502.143.417","ВМЗ","1.000","71.7","45","5,280.00","73.64","73.64","Солнышкин Дмитрий Сергеевич","16.11.2023, Выиграли","71.7","29,29"
"Вал ч.532047-07004","532047-07004","Татшина","7.000","72.5","40Х","3,362.61","46.38","46.38","Диденко Виталий Тимофеевич","04.02.2025, Отменен","507.5","20,00"
"Вал карданный ч.8570","8570","ММК","2.000","72.6","СБ","5,375.00","74.04","55.97","Лебедев Станислав Артурович","03.09.2025, Подались","145.2","29,61"
"Вал колеса Ø710 ч.Б-112-70","Б-112-70","Красный октябрь Корпорация","2.000","73","45","3,450.00","47.26","43.84","Жуков Евгений Александрович","13.12.2024, Проиграли","146","24,93"
"Вал ч.532047-04024","532047-04024","Татшина","2.000","73.2","45","3,395.07","46.38","46.38","Диденко Виталий Тимофеевич","04.02.2025, Отменен","146.4","20,00"
"Вал №3","б/н","Промэнергоремонт","8.000","73.3","40Х","6,380.00","87.04","87.04","Матитов Магомедтагир Ахмедович","27.02.2025, Проиграли","586.4","30,01"
"Вал валковой сортировки 12-211 №303481-2 дет.11 ч.12-211.10.000 СБ","12-211.10.000 СБ","Светогорский ЦБК","4.000","74","СБ","21,200.00","286.49","286.49","Хусаева Патимат Халидовна","21.02.2025, Отменен","296","150,00"
"Вал валковой сортировки 12-211 №303482-2 дет.10 ч.12-211.30.000 СБ","12-211.30.000 СБ","Светогорский ЦБК","6.000","74","СБ","21,200.00","286.49","286.49","Хусаева Патимат Халидовна","21.02.2025, Отменен","444","150,00"
"Вал ротора в сборе ч.КО/ПУ 09-324.01.00 СБ","КО/ПУ 09-324.01.00 СБ","Кемерово","3.000","74","СБ","42,000.00","567.57","324.32","Лебедев Николай Леонидович","06.05.2025, Выиграли","222","85,81"
"Вал ч.1Д502.143.401","1Д502.143.401","ВМЗ","1.000","74","45","4,400.00","59.46","59.46","Солнышкин Дмитрий Сергеевич","13.06.2024, Выиграли","74","28,38"
"Вал ч.1Д502.143.401","1Д502.143.401","ВМЗ","6.000","74","45","5,130.00","69.32","69.32","Солнышкин Дмитрий Сергеевич","13.07.2023, Выиграли","444","33,78"
"Вал шестерня ч.Р100-2357.0.02","Р100-2357.0.02","УК РМ РЕЙЛ","6.000","74","40Х","5,628.71","76.06","54.28","Максутов Бектурсун Абдилнабиевич","05.02.2025, Проиграли","444","30,00"
"Вал вентилятора ч.04.309.000","04.309.000","КраМЗ","1.000","75","20Х23Н18","20,000.00","266.67","266.67","Коновалов Данила Евгеньевич","13.12.2024, Проиграли","75","150,00"
"Вал приводной ч.ВПТМ.468.09.01.01.01.11.08","ВПТМ.468.09.01.01.01.11.08","ВМЗ","1.000","75","ОХН1М","6,000.00","80.00","80.00","Солнышкин Дмитрий Сергеевич","29.11.2024, Проиграли","75","36,96"
"Вал ч.023.7.027","023.7.027","СГМК","2.000","75","45","2,100.00","28.00","28.00","Ряхимов Али Рафикович","09.12.2024, Проиграли","150","11,78"
"Вал ч.5617.90.806И1","5617.90.806И1","Северсталь","10.000","75","СБ","5,175.00","69.00","69.00","Омаров Сайпудин Мурадович","19.08.2024, Отменен","750",""
"Вал ч.КСЦ.28.553а-02/кс","КСЦ.28.553а-02/кс","Надеждинский МЗ","4.000","75","45","11,600.00","154.67","154.67","Зырянов Олег Юрьевич","27.02.2024, Проиграли","300","38,67"
"Вал шестерня ч.4141.57.01","4141.57.01","ЗЭМЗ ТД","2.000","75","38ХГН","7,000.00","93.33","54.67","Жуков Евгений Александрович","03.03.2024, Отменен","150","28,00"
"Вал 3 ч.Э-403518-10","Э-403518-10","ТАГМЕТ","1.000","75.3","Ст.35","3,393.72","45.07","45.07","Валитов Рамиль Амирханович","21.02.2024, Выиграли","75.3",""
"Вал 3 ч.Э-403518-10","Э-403518-10","ТАГМЕТ","1.000","75.3","Ст.35","3,400.00","45.15","45.15","Валитов Рамиль Амирханович","27.03.2024, Выиграли","75.3","27,89"
"Вал ч.38.21204-07.00.005","38.21204-07.00.005","ИЗ-КАРТЭКС","4.000","75.3","40Х","4,000.00","53.12","53.12","Жуков Евгений Александрович","15.03.2024, Выиграли","301.2","14,61"
"Вал валковой сортировки 12-211 №303006-2 дет.9 ч.12-211.20.000 СБ","12-211.20.000 СБ","Светогорский ЦБК","2.000","76","СБ","23,000.00","302.63","302.63","Хусаева Патимат Халидовна","21.02.2025, Отменен","152","150,00"
"Вал ведущий ч.АЛ 001","АЛ 001","ФИРМА АЛЕВ","1.000","76","A350-LF2","120,000.00","1,578.95","1,578.95","Лебедев Николай Леонидович","20.12.2024, Проиграли","76","360,00"
"Вал приводной ч.2Тр-409-001","2Тр-409-001","Красный октябрь Корпорация","4.000","76","40Х","4,350.00","57.24","52.63","Жуков Евгений Александрович","13.12.2024, Проиграли","304","31,32"
"Вал шестерня ч.86246.02Б.005","86246.02Б.005","УК РМ РЕЙЛ","3.000","76","40Х","5,757.62","75.76","53.44","Максутов Бектурсун Абдилнабиевич","05.02.2025, Проиграли","228","29,60"
"Вал шестерня ч.86246.02Б.005","86246.02Б.005","УК РМ РЕЙЛ","5.000","76","40Х","4,300.00","56.58","46.05","Власов Михаил Дмитриевич","06.08.2025, Проиграли","456","30,00"
"Вал ч.СК2067.00.001-03","СК2067.00.001-03","ИСО ООО","24.000","76.27","40ХН","9,533.75","125.00","31.47","Коновалов Данила Евгеньевич","06.08.2025, Подались","1,830.48","17,00"
"Вал полый ч.КП 175-410-007","КП 175-410-007","КАЛИНИНГРАДСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ","1.000","76.6","45","3,843.00","50.17","50.17","Максутов Бектурсун Абдилнабиевич","15.10.2025, Мониторинг цен","76.6","25,66"
"Вал ч.1.17.20-ТО 537/14.03.00.002","1.17.20-ТО 537/14.03.00.002","БСК","1.000","77.5","45","3,400.00","43.87","43.87","Лебедев Николай Леонидович","10.03.2025, Выиграли","77.5","22,19"
"Вал колеса Ø710 ч.1Б-29-2А","1Б-29-2А","Красный октябрь Корпорация","8.000","78","45","3,700.00","47.44","43.59","Жуков Евгений Александрович","13.12.2024, Проиграли","624","25,00"
"Вал ч.2-403201","2-403201","ТАГМЕТ","2.000","78","40ХН","8,146.94","104.45","104.45","Валитов Рамиль Амирханович","18.01.2024, Выиграли","156","32,00"
"Вал ч.2-403201","2-403201","ТАГМЕТ","2.000","78","40ХН","14,706.01","188.54","108.41","Морев И.В.","01.02.2024, Выиграли","156","2,48"
"Вал ч.3-337269","3-337269","ПНТЗ","1.000","78","40Х","4,450.69","57.06","57.06","Лебедев Станислав Артурович","12.03.2024, Выиграли","78",""
"Вал ч.337-31-03-02-01-01","337-31-03-02-01-01","ПРОМСОРТ","1.000","78.3","45","3,237.80","41.35","41.35","Диденко Виталий Тимофеевич","04.02.2025, Отменен","78.3","16,60"
"Вал колеса Ø710 ч.Б-43-41","Б-43-41","Красный октябрь Корпорация","1.000","78.5","45","3,000.00","38.22","35.67","Жуков Евгений Александрович","13.12.2024, Проиграли","78.5","19,11"
"Вал колеса Ø710 ч.Б-43-41","Б-43-41","Красный октябрь Корпорация","2.000","78.5","45","3,800.00","48.41","40.64","Жуков Евгений Александрович","22.01.2025, Проиграли","157","20,00"
"Вал приводной ч.920-410","920-410","ИСО ООО","4.000","79","45","4,142.86","52.44","39.78","Левичев Никита Сергеевич","06.08.2025, Подались","316","18,00"
"Вал промежуточный Ø290 ч.7DCCB271BM8250DLZ","7DCCB271BM8250DLZ","НЛМК","4.000","79","СБ","5,200.00","65.82","65.82","Солнышкин Дмитрий Сергеевич","20.05.2025, Проиграли","316","34,18"
"Вал шестерня ч.М04-719-1","М04-719-1","КАМА ТД","2.000","79","20ХН3А","10,200.00","129.11","129.11","Ряхимов Али Рафикович","08.09.2023, Выиграли","158","75,95"
"Вал промежуточный ч.13.32.1875 СБ","13.32.1875 СБ","ВМЗ","1.000","79.8","СБ","9,580.00","120.05","120.05","Солнышкин Дмитрий Сергеевич","17.06.2025, Проиграли","79.8","67,54"
"Вал карданный L=3100 ч.18-103022","18-103022","НЛМК","2.000","80","СБ","16,100.00","201.25","81.88","Солнышкин Дмитрий Сергеевич","17.03.2025, Проиграли","160","42,50"
"Вал карданный ч.19-100538/4","19-100538/4","НЛМК","1.000","80","СБ","15,000.00","187.50","89.00","Солнышкин Дмитрий Сергеевич","17.03.2025, Проиграли","80","42,50"
"Вал насоса ч.23564-4","23564-4","РУСАЛ АО","2.000","80","45","5,800.00","72.50","72.50","Левичев Никита Сергеевич","29.07.2025, Подались","160","37,50"
"Вал ч.F0083L322008-01","F0083L322008-01","ТАГМЕТ","1.000","80","40","14,259.00","178.24","178.24","Валитов Рамиль Амирханович","18.01.2024, Выиграли","80","36,75"
"Вал шлицевой ч.30А-170-02-001","30А-170-02-001","ИСО ООО","9.000","80","20ХГСА","9,285.71","116.07","48.21","Левичев Никита Сергеевич","06.08.2025, Подались","720","23,75"
"Вал ч.А1025-121-51В","А1025-121-51В","ИСО ООО","2.000","80.5","45Х","10,062.50","125.00","28.57","Коновалов Данила Евгеньевич","06.08.2025, Подались","161","14,00"
"Вал приводной ч.Л4-8061","Л4-8061","ММК","3.000","80.7","45","3,900.55","48.33","39.97","Лебедев Станислав Артурович","05.03.2025, Проиграли","242.1","18,59"
"Вал приводного барабана ч.РПК-ЛК-№1-4","РПК-ЛК-№1-4","Полиметалл","3.000","81","40Х","3,461.54","42.74","42.74","Хусаева Патимат Халидовна","18.04.2025, Отменен","243","9,12"
"Вал шлицевой ч.ВШ-809","ВШ-809","ММК","4.000","81","45","3,900.31","48.15","39.82","Лебедев Станислав Артурович","05.03.2025, Проиграли","324","18,52"
"Вал ч.0120009-15.420 СБ","0120009-15.420 СБ","ОЭМК","1.000","81.7","СБ","4,971.72","60.85","60.85","Максутов Бектурсун Абдилнабиевич","19.01.2024, Выиграли","81.7",""
"Вал ч.0120009-15.420 СБ","0120009-15.420 СБ","ОЭМК","5.000","81.7","СБ","8,041.94","98.43","77.55","Максутов Бектурсун Абдилнабиевич","13.11.2024, Проиграли","408.5","40,39"
"Вал зубчатый ч.2-4777","2-4777","ТАГМЕТ","1.000","82","40Х","5,280.00","64.39","64.39","Пилюгин Дмитрий Михайлович","05.12.2023, Выиграли","82","29,27"
"Вал ч.9.1.03.53-9","9.1.03.53-9","ПНТЗ","1.000","82","40Х","12,600.00","153.66","153.66","Лебедев Станислав Артурович","11.08.2023, Выиграли","82","63,41"
"Вал ч.СС 50.196.00.000","СС 50.196.00.000","ИСО ООО","12.000","82","40Х","4,250.00","51.83","50.61","Левичев Никита Сергеевич","25.12.2024, Проиграли","984","24,39"
"Вал ч.А.04.29-580-293.2.1","А.04.29-580-293.2.1","СТЗ","1.000","82.7","45","1,466.19","17.73","17.73","Лебедев Станислав Артурович","18.01.2024, Проиграли","82.7","11,44"
"Вал ведомого колеса ч.2023.27.04","2023.27.04","БОАЗ","4.000","83.7","40Х","3,500.00","41.82","40.62","Левичев Никита Сергеевич","27.02.2025, Проиграли","334.8","17,92"
"Вал шестерня ч.ПГМЕ.721631.002","ПГМЕ.721631.002","Волга","1.000","84","38Х2МЮА","6,700.00","79.76","79.76","Омаров Сайпудин Мурадович","16.02.2024, Выиграли","84","47,62"
